pinglun,pingfen
"一直想吃膏蟹和醉虾，也终于来打卡了。之前也来过一次，天又热环境又差，等待20几桌让我望而却步。好不容易有朋友来先取号，是要人齐后才能进去的，这也是为了翻桌率吧。「脆皮大肠」偏咸。确实是脆皮，只惊讶了第一口的脆皮而已。处理的很干净，不那么咸就好了。「油淋鸡」过于油了，肉质厚且有点柴，还是有点咸。「蛋黄南瓜」还可以，但是也没有到杭州最好吃的程度。「干炸臭豆腐」如图，颜色真的很黑不知道为什么。不过很脆，蘸辣酱还不错。「嫩菱芦笋」全桌最佳。第一个光盘的菜，个人觉得芡粉有一点点多，其他没毛病。「农家花蛤」有沙有沙有沙！！味道还行就是有沙！没养好，而且好几个没开口的。「醉虾」3两起卖，一两22元。3两原来只有那么点。小时候的菜了，现在居然这么贵。味道还是可以的，酒味有点偏淡，甜辣口。环境的话，等位的环境还蛮糟糕的，坐在里面还行，有点拥挤。菜价有些偏贵，基本打卡一次就可以了。	",4
"[薄荷]环境：五点半到店就已经排到132号，但是刚叫到2号。人少或者不介意的话可以选择拼桌，会快一些。等位期间去旁边溜达了一圈回来发现已经不再发号了。[服务铃]服务：无所谓服务态度好坏了，因为服务员根本忙不开了…能在这么混乱的情况下精准投放菜品给拼桌的客人，也是业务能力超强了。「脆皮大肠」很香，个人口味喜欢再脆一些「干炸臭豆腐」好吃。两种蘸料各有千秋「马蹄芦笋」马蹄清香脆甜，芦笋非常鲜嫩「葱油鸡」鸡肉很嫩，多蘸些汤汁更入味「醉虾」一开始不太敢吃，等它们更醉一些才敢下嘴，鲜嫩「醉湖蟹」蟹膏很多，味道纯正「东坡肉(块)」肥而不腻	",5
"网评如潮的特色杭帮菜馆出差来杭州赶紧跟着来打个卡。11点多到店就已经开始排队了本地人游客都很多，果断跟着攻略所说选择了拼桌多年前对杭帮菜的印象就是淡和甜可是这家菜品很到位，不会咸却都很入味也不会甜齁的那种清清爽爽的甜辣口感太好吃了[薄荷]环境：很热闹的居民特色饭店，本地人来打卡的也很多看得出网上好评率真不是刷出来的，就这一点就已经对菜品有了期待，服务员们也没有像有的评论所说态度恶劣，明明是很和蔼可亲的阿姨们呀，可能因为人太多不能很及时提供服务吧但态度是很好的提的要求都帮忙解决了「脆皮大肠」据说是杭州排名第一的脆皮大肠，没有吃过其他家的也不好对比，单就这家而言还是很惊喜的，大肠处理的很干净，油脂经过油炸几乎吃不出油腻的肥油感，减肥的我也忍不住吃了半分焦焦酥酥的口感超棒超香，配上店家提供的卤汁鲜香四溢，全场最佳每桌必点。「油淋鸡」这道菜几乎也是每桌必点菜品，即使是大块的鸡肉也一点也不柴，鸡肉软烂适中，脸鸡皮也是焦焦的，本以为会很油意外的没有厚重感。我一个不吃葱的人竟然觉得很香，少许的葱油香和豆豉味完美的提升了鸡肉的鲜美，虽然这家菜品装盘不是特别讲究但感觉每道菜出品的火候细节都到位，不像有些店只追求外表的华丽。「蛋黄南瓜」和咸蛋黄搭配的食物果然就没有不好吃的，南瓜甜甜糯糯的网评说不好吃是认真的吗？明明很好吃呀虽是油炸类的但也吃不出油腻感女孩子应该都很爱这口感吧但更建议陈热吃脆脆的非常好吃冷了就会变软了不过软糯糯的南瓜也很好吃「醉虾」同桌小伙伴不吃生冷食物于是乎我吃完了一盘明明要减肥的我太难了，虾很新鲜上桌的时候还活蹦乱跳的吓得我觉得自己好残忍多醉一会就不蹦了，卤汁是甜辣口的酸酸甜甜辣辣的非常对味「糖醋里脊」10元一份的里脊肉性价比真是超高了满满的一小盘，是正宗杭帮菜的口味了，糖醋汁超好吃，现在很多地方的糖醋汁都用番茄酱代替了少了这种原汁的鲜甜，还是老传统的东西好吃「西湖醋鱼(鲈鱼)」可能是唯一稍微踩雷的菜品了，作为杭帮菜的代表菜这道西湖醋鱼真找不到特别对味的餐厅了，点的是桂鱼，可能因为现在生活环境限制，鱼都是家养的了，会有一点土腥气，加之杭帮菜的特点本就是少调料只用糖和醋来跳鲜，所以多少掩盖不住鱼的腥气，正宗是挺正宗的，只是我吃不了鱼腥气所以不是很爱。作为网红店给我的口感还是很惊喜的，看其他菜品应该也很棒，下次出差来杭州应该还会来打卡的哈哈美食就是动力	",5
"奔着必吃榜去的[薄荷]环境：门脸不大，旁边是车管所还是什么，有人排队到门口，提前打电话去问了，今天没有排队。点单是给一张豆腐块大的白纸，自己写菜单，顿时怀旧感就有了哈哈哈(?ω?)hiahiahia「脆皮大肠」脆皮大肠，外皮酥脆，偏甜口感。中间段对我而言太肥腻了点。「白切完鸡」很嫩，油花足。对我来说也是太肥，不合适笋干菜河虾，这个，看着隔壁桌有，就跟着点了，我没搞懂，吃的是啥，喝汤还是，，，因为河虾特别小，个人觉得油爆虾可能会吃起来更有料。看菜单像是人均80左右两大一小点了260emmmm，觉得还行吧可能是我不太会搭配	",4
"来的第二次，终于吃上了，每次门口都排着长龙。。环境就别奢望了，咱们讲口味。「醉虾」醉虾我可以。虽然第一口的时候要做心理建设才下得去口。但虾肉鲜嫩Q弹，汤汁酸辣爽口，我觉得来个十两没问题。提示：一定等它们醉到无法动弹再下口。「脆皮大肠」脆皮大肠名声在外，但对于大肠爱好者的我来说没有那么惊艳。不是想象的外焦里嫩，整体口感都比较筋道，好吧我还是pick卤的。但这道菜很奇怪的一点是，吃两口就腻，过会儿又想念。没吃过这种可以尝试。「东坡肉(块)」肉皮超级糯又不会太软，味道不错，但肥的好多，反正我是吃不下。这个加大肠几口下肚真的够够的。「嫩菱芦笋」那么这个菜就是为了解腻吧。爽脆清甜，???。总体来讲，口味就还行但性价比真不行。不过醉虾我可以！	",4
"福缘居闻名已久了，所以去杭州第一站就去吃了，比营业时间提前半个小时到那边但是门口已经排到路边了，要人齐了才能进去不支持预约要现等（接受拼桌的话其实蛮快的），这些规矩过分提高了我们对它的期待值，导致吃到难吃的蛋黄南瓜的时候朋友骂出了声（笑死）。「脆皮大肠」好吃！有两个不喜欢吃大肠的朋友也吃了好几口，真的很香脆没有一点点腥味，反正点招牌总是没错的。「油淋鸡」很好吃，我一开始以为是凉菜结果是热菜，葱油很香，感觉这家店的菜都放了一种很香的酱油，好几道菜吃起来都有那种味道。「干炸响铃」脆！其实就是炸豆皮（？）里面没有馅儿的那种，感觉我一般吃到的响铃都是里面有馅儿的，但是这个很脆而且不油，可以原谅它没有馅儿。「干锅花菜」有点油，就是江浙菜馆一般的味道加上那个酱油味儿，还不错。「酒酿圆子羹」酒酿圆子该有的味道，没什么特别出彩的，喜欢酒酿圆子的可以点。「蛋黄南瓜」踩雷了！看着排行榜上点的，但是！真的不好吃，寡淡不说，蛋黄是蛋黄，南瓜是南瓜，没有南瓜味儿也没有蛋黄味，没想到这道菜会踩雷来着，不知道是不是因为当天南瓜不好还是怎么样，总之我们桌上那盘难吃，是失望的味道，因为感觉一般餐馆的蛋黄南瓜都是能接受的味道不会难吃的那种，没想到有例外。[薄荷]环境：人很多，很热闹，有点拥挤，店内非常吵，上菜的店员和客人走来走去。但是也因为这样显得很有人气，就是日常生活的烟火气息，闻名而来的各地游客都为了吃上一口福缘居而在门口的塑料凳子上排起长队等位，去享受琐碎的幸福。[服务铃]服务：服务的话，因为客人真的很多，所以是可以理解的那种忙碌而不能照顾到每一位客人，但是收银台的老板娘（应该是吧？）人很好，取了小桌但是突然又有一个朋友来，于是帮我们加了一张凳子没有叫我们重新等位。	",4
"看到点评好评如潮的小店，做好攻略，为了不排队周六下午四点一刻就到了，现场并不发号，秩序有点混乱，店家要求人到齐才能进，到我正好双人桌没了，不愿拼桌就只能等一个多小时，当然选择拼桌啦，点了几个特色菜下面细细道来油淋鸡最好吃，鸡肉很嫩一点都不柴，葱油酱油浓淡适宜，香嫩滑挨下来是醉虾，有点点辣，腐乳汁，带点酸辣味，还不错，吃了一个后来菜太多打包回酒店就不如店里那么好吃，还是店里吃完吧醉膏蟹，黄是真的多，蟹是真的有点点咸，刚上桌的时候蟹还是带点冰渣子的感觉，也是打包回酒店，然后觉得越吃越咸，浓浓的酱油花雕味，有点上头，打包回酒店就变得有点点腥，好难掌握它在店里冰冷如霜，打包后回暖变味之间的最合适的食用温度，我太难了嫩菱炒芦笋，菱角不是季节换的马蹄，马蹄有股清甜，还蛮好吃的，就是个别芦笋有一点点一点点的苦味，但还是被我光盘了，这是我们唯一光盘的一道菜了八宝老油条，无功无过，吃多了腻糖醋里脊，看菜单这道菜好像才10元，心想天呐老板打错了吧，上菜之后才知道，这是糖醋肉丝面疙瘩，肉丝只是吊吊面团的肉味的，都是面粉，是我对这道菜有什么误解？浪费了糖醋酱汁还蛮喜欢的炸臭豆腐，一上桌就闻到了它的味道，真的臭，臭到隔壁桌的小姑娘也忍不住跟着一起感叹，好臭，这能吃吗，我用实际行动回答了她，能吃，一般般，外酥里嫩，但是不是很香，豆腐有点咸味，甜面酱有点败笔，裹了很多也觉得寡淡下面来让我们说说这道西湖醋鲈鱼，太失败了，鱼是鱼，汁是汁味，格格不入，鱼味还很一般，可能是排队时候旁边鱼缸里那几条一动不动的其中之一我们可能是第一批下单的，菜其实很早都上齐了，但是作为网红店我不知道他以前的水准是怎么样，目前来讲不值得特地排很久来吃，可能大肠蛮值得吃的吧，但我们两个人都不吃这口，隔壁桌说挺好吃的，吃不出大肠味，整个吃饭用了一个多小时而已，五点半就买单走人了，两个人517很多人拖着行李箱来吃，感觉都还是游客吧	",3.5
"??福缘居是本地人都偏爱的一家馆子，要能吃上这一口地道的杭帮菜，提前2-3小时排队，如果愿意拼桌，倒能节省不少时间。我们12点30来到餐馆，门口已经排了长龙，为了不等位，同意和其他人一起拼桌，等了30分钟就吃上啦~?「脆皮大肠」来福源居必点，第一次吃卤大肠，有没惊艳到！肠子处理得很干净，没有任何异味。外皮咬起来脆脆的，内部饱满，一口下去软糯丰腴，嚼起来是满足的油脂感。大肠本身卤得很透，酱汁可以蘸可不蘸，对于这道高脂高热量的佳肴，请忘记变胖这件事。?「嫩菱芦笋」太清甜了！菱角入菜，很好发挥了它脆嫩的口感，搭配芦笋这类清新的食物，两者相得益彰。不需要太多调味，大火爆炒翻滚，起锅装盘，满口的新鲜?「凉拌臭豆腐」臭豆腐的另类新吃法，我是被好奇心挑起了尝试的欲望，抱着50%踩雷的心态大胆点了单。豆腐上来后，嗯，首先不是扑鼻而来的臭味，凑近一闻，还能闻出点味来。然后是酱汁调味调味，辣椒酱和醋，似乎混合了一些芥末，这个搭配非常新奇，将油腻腻的臭豆腐衬托出另一番清爽的风味来。最后说说豆腐质感，外皮炸得很透，即使浸在汤汁里也有酥脆口感，如果大家不排斥香菜，建议来试试这款臭豆腐新花样。?「黄鱼鲞蒸千张包」实在是米饭杀手，黄鱼鳖经过腌制，口味咸鲜，内部的鱼肉不干瘪，千张包肉馅饱满，肉团调味适中，外层的豆腐皮浸透了黄鱼鳖的鲜香汁水，配合新鲜的毛豆，太下饭了！?[服务铃]服务：中午时间段实在太忙了，服务员来不及应答，需要多次跑去提醒她催促上菜，看在东西好吃的份上，自己就多跑跑吧~?[薄荷]环境：有大堂和包房，不知道是否能提前预定，看这家超人气，估计是现场排队的多。店里环境还是比较嘈杂的，为了美食，大家忍耐下啦	",4
"[薄荷]环境：接地气，热热闹闹[服务铃]服务：第一次吃饭拼桌，老娘算账飞快「醉虾」这道菜可以说是心心念念了，酱汁调得好，鲜香微辣，爱了。「油淋鸡」外皮酥脆，蘸汁鲜美，不愧是招牌菜「咸蛋黄仔排」做得比较粗糙，口感不是很好而且有点腻「酒酿圆子羹」量很足，但味道整体偏淡。	",4.5
"周末跟多年不见的同学约的这家网红店！~10点40来到这家店，大概50营业，必须人到齐才能入座，所以我先领了号，柜台说人齐了可按照号优先入座，这倒是不错！不过来的人是真的多，同学大概是11点半来的！但店里人已经坐满了，外面已经又排队了，确实很有人气！我拿的1号，所以同学来了也不用等太久！[薄荷]环境：环境还不错，比较国风的，卫生也比较干净，毕竟这么多人！[服务铃]服务：主要上菜确实很快，基本不用跟服务员多聊，所以态度方面不好说，但速度确实快！「脆皮大肠」还可以的，以前没吃过这个口感，处理比较干净，比较干，所以不会腻「醉虾」这是我比较喜欢的，很新鲜，酸甜辣的口味，肉质很鲜嫩，很久没有吃醉虾了，这道菜很中意我！其他我还点了「干炸臭豆腐」「油淋鸡」「百合西芹」「西湖牛肉羹」牛肉羹还不错，臭豆腐不太喜欢，其他中规中矩！整体不错！值得体验！	",4.5
"【位置】按导航去打车来的发现就是应该打车周围就没地方停车【交通】还算方便吧去的时候打车ok吃完饭下雨死活打不到搜了搜附近有地铁所以去坐地铁了【口味】慕名而来16:30开餐我们16:10到前面已经有三四桌在排队了差不多16:25落座自己手写在纸上点餐上菜挺快的感觉都是杭州本地人拖家带口来吃口味确定不错脆皮大肠很好吃刚出锅酥酥脆脆不油不腻口感觉了就算凉凉不那么酥也没问题很好吃油淋鸡好吃鸡肉嫩嫩的蘸汁很入味酱爆牛蛙也ok就是吃到最后很咸马蹄有的感觉不新鲜糖醋里脊依旧没有蛋黄南瓜上的慢中规中矩不出错八宝油条有点一般	",4
"必吃榜网红餐厅，看到好多推荐这间老杭帮菜，评论也是不错就来试试。幸好早去不用等位，过了一阵就看到好多人开始等位了，估计大家都是冲着网红店而来，环境一般，东西都比较旧。分量都非常小，性价比不高，不知道是不是广州人的口味和杭州人有很大的差异，感觉杭州菜的味道都不太好吃，不太习惯。「脆皮大肠」看到推荐说必点的，当然要试试，真的好一般，猪大肠好韧好肥，咬不开，咬到牙都酸「油淋鸡」也是看到说必点的也点了，好失望，鸡肉不太新鲜，好明显是冷藏了好久的鸡，没有鲜味，不嫩滑口感差。「醉虾」只有醉虾是最好吃的，真的是新鲜的虾，是生的虾还在跳的，有点惊讶第一次吃活生生的，用酒把虾灌醉，虾醉了开始不会动。味道真的不错，酸酸甜甜辣辣，好开胃，欲罢不能。不过虾真的好小好小一只，就是虾毛，如果是大虾口感一定非常好。最令我们惊吓的是价钱，点的时候没有问价钱，以为跟平时吃的差不多，谁知一问要200多一斤，然后想叫他们改一下要少一点，他们说已经在醉了不能改，上来是一小碗就要快100了，好坑爹好宰客，如果不是味道还不错我一定不会原谅他们！！「嫩菱芦笋」中规中矩，味道还可以。	",3.5
"????¨??????????????????????????秋日限定?????????今年一年都没出过上海，上班越上越烦躁！于是老陆带我来杭州次次次散心！周五订票周六说走就走！动车一下来，第一站直冲福缘居拿号！[薄荷]环境：要中午来！还要来的早！吃完出门一看，门口已经人满为患！全是来等位的！「脆皮大肠」老陆说在杭州的猪真惨！杭州人民的饭桌上都有大肠！这份75块的大肠是我吃到现在处理的最干净的大肠！大肠在油里炸过，表面和脆！里面有嚼劲！配上卤水！人间美味！「油淋鸡」菜还没上来时，我们觉得油淋鸡可能跟我们的葱油鸡差不多！但是上菜后还是很惊艳！鸡肯定是油里炸过，皮很脆，鸡肉却很嫩！铺上小葱后淋上热油！又香又脆！「膏蟹」原本我是想点「醉虾」的，但是老陆心心念念想吃膏蟹，没办法难的来一次就满足他了！膏蟹从冰箱里拿出来，还是有很多冰渣，幸好在饭里捂热！蘸上蟹醋！只能感叹一句！胆固醇的味道真好啊其实店里的菜还有很多，可惜我们只有两个人，本着每一顿都很珍贵的原则！只能放弃其他菜式！下次有机会还会来试试别的菜！	",4
"朋友来杭州工作约我吃饭，他早早结束了工作，而我还要上班，就让他先去福源居排队（好像不是什么好的待客之道）。可是福源居得等人齐了才能上桌，让朋友苦等了好一会。虽然是周一，五点多就已经有很多客人了，选择拼桌可以早点吃。两个人一共点了五个菜，总花费194????脆皮大肠，推荐菜top1，果然名不虚传，我真的好爱大肠，外皮被炸成焦糖色，入口先是脆脆的，里面是肥沃的肠肉，沾上酱汁真的绝??油淋鸡也超级好吃，同样是外皮酥脆，葱油飘香??糖醋里脊，十块钱买不到吃亏，感觉还是挺正宗的??百合西芹，很解腻、清爽的一道菜，芡汁包裹着西芹，使得西芹的口感更加爽滑??咸菜菌菇豆腐汤，我没怎么喝汤，朋友挺喜欢的。总得来说，一家看起来不像网红店的店铺能成为网红店一定是经得起吃货考验的，满分推荐	",5
"「脆皮大肠」这个菜真的值得来吃，肥肠肥肠棒，首先是干净，外皮炸过，卤的味道有很棒，精品了。还有一些是干干脆脆的大肠，完全吃不出是大肠反而焦脆感爆炸，蘸卤汁味道更浓郁，怪不得是全网最高分。「油淋鸡」这个菜鸡肉很棒没话说，不过也许是因为和我妈妈蒸鱼用了同一种调味，所以惊艳度可能对我个人来说是没有的，味道是OK的。一边吃总有一种在吃我妈蒸鱼的感觉有点迷。「马蹄芦笋」马蹄芦笋这种做法是很棒了，马蹄甜甜的，芦笋一点点苦，味道很妙又很清爽。很江南了这味道，推荐试一试。「家常豆腐」这道菜很多很多人推荐，但是感觉就是“家常”豆腐，没有什么一定要上榜的理由，大多数馆子对于这道菜的做法都不太会失控。总体来说，部分菜的味道还是很棒的，但是如果要像日常那样等一个多小时来吃的话，可能不会选。对于游客来说，是一个认识本帮菜的好馆子。饭馆整体来说，在杭帮菜里是偏贵一些，但是有两个菜还是值得付钱。	",4
"这家也是我做攻略要来吃的真的很想试试杭帮菜一点多到的不用排队有几个空位可能是因为错过饭点儿了上菜还是蛮快的「脆皮大肠」真的很特别以前吃到的大肠都是煮的或者炒的第一次是脆皮的真的是脆的诶好奇妙本北方人长见识了配的卤汁也不错喜欢「醉虾」这个不值得我以为是潮汕那边生腌的那种结果味道是甜咸的虾还很小个没吃头「马蹄芦笋」本来想点嫩菱芦笋结果说这个季节没有嫩菱了(哭我就真的很想知道嫩菱是什么啊然后退而求其次点了马蹄芦笋还蛮清爽的不错「油淋鸡」这道还不错没特别惊艳但也算可以四道菜花了200多主要是菜的分量小还是有点贵	",4
"啊呦喂，墙裂推荐的不是排名第一第二的菜，是这个膏蟹，满满的黄糯糯的肉，根本停不下来第二推荐的就是炸响铃了，又脆又不油腻**时间有点短不够入味，多点酱油就好了葱油鸡的味道有点像南京大排档的王府鸡脆皮大肠不够脆，所以我一直挑小得吃这个仔蒜鳝鱼，好吃！很入味，鳝鱼很有弹性	",3.5
"随便吃吃的水平，不值得排队。环境很吵，坐的很挤，服务员都不太耐烦，上错菜漏上菜「脆皮大肠」招牌菜，表皮脆，味道不错「油淋鸡」调味好，鸡的品质不行，肉木木的「片儿川」不好吃，面糊糊的，一点劲道都没有蛋黄南瓜，上汤菠菜还可以	",3
"大老远赶去凑热闹感觉味道并没有信息中的期望值高……觉得不是特别的杭帮菜。「脆皮大肠」大肠没有异味，有一些部位吃起来还是脆脆的，可以尝试一下。可是性价比不是很高，一份好像有七十几块钱。「葱油蛏子」蛏子是挺鲜的，适合清淡口味的人。「上汤苋菜」苋菜味道是还可以，可是有一丢丢老，我牙口不是很好，咬不短总得来说味道一般，性价比不高。两个人三四个菜话了两百多。觉得还是三姐妹性价比高。	",3
